bonus|defPlayer1|defPlayersOnCourt|defTeam|gameEvent|gameId|gameType|isCharge|isPutback|neutralFloor|offPlayer1|offPlayer2|offPlayersOnCourt|offTeam|segment|shotType|shotValue|team0|team1|turnoverType|valueToAdd|violationType|x|y
|1629018|1627783,1629018,1630551,1629004,1630625|1610612761|DEFENSIVE_REBOUND|1|time|||false|||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745||1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|SEGMENT_END|1|time|||false|||1628021,1629645,1630227,1630224,1630528|1610612745|4|||1610612761|1610612745|||||
||1628021,1629645,1630227,1630224,1630528|1610612745|SEGMENT_START|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761|4|||1610612761|1610612745|||||
||1628021,1629645,1630227,1630224,1630528|1610612745|3FG_ATTEMPT|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||ARC_3|3|1610612761|1610612745||||57|246
||1628021,1629645,1630227,1630224,1630528|1610612745|3FG_MISS|1|time|||false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||ARC_3|3|1610612761|1610612745||||57|246
||1628021,1629645,1630227,1630224,1630528|1610612745|OFFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||AT_RIM|2|1610612761|1610612745||||0|4
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||AT_RIM|2|1610612761|1610612745||||0|4
|1630528|1628021,1629645,1630227,1630224,1630528|1610612745|DEFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|OFFENSIVE_FOUL|1|time|true||false|1629645||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745|||||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||94|184
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||94|184
||1628021,1629645,1630227,1630224,1630528|1610612745|OFFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||||-55|10
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||||-55|10
